train,datetime,irradiance_Wm-2,pv_power_mw,panel_temp_C,4window,48window,last_hour,last_day,last_hour_mean,last_day_mean
train,11/3/2017 0:00,0.0,0.0,7.05,,,1.0,1.0,1.0,1.0
train,11/3/2017 0:30,0.0,0.0,7.38,,,1.0,1.0,1.0,1.0
train,11/3/2017 1:00,0.0,0.0,7.7,,,0.0,1.0,,1.0
train,11/3/2017 1:30,0.0,0.0,7.48,0.0,,0.0,1.0,,1.0
train,11/3/2017 2:00,0.0,0.0,7.2,0.0,,0.0,1.0,,1.0
train,11/3/2017 2:30,0.0,0.0,7.28,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 3:00,0.0,0.0,7.97,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 3:30,0.0,0.0,8.29,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 4:00,0.0,0.0,7.85,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 4:30,0.0,0.0,7.68,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 5:00,0.0,0.0,8.26,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 5:30,0.0,0.0,8.45,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 6:00,0.0,0.0,8.77,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 6:30,0.06,0.0,7.8,0.0,,0.0,1.0,0.0,1.0
train,11/3/2017 7:00,8.48,0.02,6.84,0.005,,0.0,1.0,0.0,1.0
train,11/3/2017 7:30,57.03,0.21,8.26,0.057499999999999996,,0.0,1.0,0.0,1.0
train,11/3/2017 8:00,172.18,0.58,10.28,0.20249999999999999,,0.02,1.0,0.005,1.0
train,11/3/2017 8:30,199.01,0.77,14.9,0.395,,0.21,1.0,0.057499999999999996,1.0
train,11/3/2017 9:00,85.06,0.35,13.99,0.47750000000000004,,0.58,1.0,0.20249999999999999,1.0
train,11/3/2017 9:30,95.07,0.4,13.65,0.525,,0.77,1.0,0.395,1.0
