train,temp_location3,temp_location6,temp_location2,temp_location4,temp_location5,temp_location1,solar_location3,solar_location6,solar_location2,solar_location4,solar_location5,solar_location1,month,week,day,hour,year
train,7.46,13.2,9.64,6.68,13.09,8.56,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,0,2017
train,7.46,13.2,9.64,6.68,13.09,8.56,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,0,2017
train,7.14,13.32,9.71,6.27,13.21,8.69,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,1,2017
train,7.14,13.32,9.71,6.27,13.21,8.69,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,1,2017
train,6.86,13.36,9.73,5.91,13.3,8.74,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,2,2017
train,6.86,13.36,9.73,5.91,13.3,8.74,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,2,2017
train,6.6,13.47,9.81,5.6,13.38,8.84,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,3,2017
train,6.6,13.47,9.81,5.6,13.38,8.84,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,3,2017
train,6.86,13.62,9.89,5.37,13.47,8.95,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,4,2017
train,6.86,13.62,9.89,5.37,13.47,8.95,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,4,2017
train,6.67,13.68,9.59,5.35,13.54,9.07,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,5,2017
train,6.67,13.68,9.59,5.35,13.54,9.07,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,5,2017
train,6.49,13.71,9.91,5.44,13.64,9.28,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,6,2017
train,6.49,13.71,9.91,5.44,13.64,9.28,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,6,2017
train,6.16,13.76,10.04,5.66,13.75,9.5,5.69,5.86,3.22,4.45,4.91,2.47,11,0,4,7,2017
train,6.16,13.76,10.04,5.66,13.75,9.5,5.69,5.86,3.22,4.45,4.91,2.47,11,0,4,7,2017
